App_ID,App_Name,Migration_Phase,Phase_Order,Owner_Team,Business_Area,Criticality,SLA_Tier,Prerequisites_Apps,Prerequisites_Infra,Prerequisites_NonTechnical,Outputs_Deliverables,Status
APP-010,Master Data Management,Foundation,1,Data & Analytics,Data Governance,Critical,Tier 1,None (first mover),AWS Landing Zone; VPN/DX connectivity; IAM baseline,Cloud team training; DR strategy approved; Data classification complete,MDM APIs available & validated; Oracle 19c migrated to RDS; MongoDB on DocumentDB; Kafka topics replicated,Not Started
APP-007,Customer Data Platform,Foundation,1,Data & Analytics,Marketing,Critical,Tier 1,APP-010 (MDM for master data),Cassandra cluster on AWS Keyspaces; Elasticsearch on OpenSearch; Kafka on MSK,Cloud team training; Data classification complete,CDP event streams live; Cassandra migrated; ES indexes rebuilt; gRPC endpoints validated,Not Started
APP-019,Big Data Ingestion Pipeline,Foundation,1,Big Data Engineering,Data Engineering,High,Tier 2,APP-010 (MDM); APP-007 (CDP),Hadoop on EMR; S3 data lake; NiFi on EC2/MWAA,Data quality baseline established,Big Data pipeline ingesting to S3/EMR; Data quality checks automated; Monitoring operational,Not Started
APP-001,E-Commerce Platform,Core Business,2,Digital Products,Digital Commerce,Critical,Tier 1,APP-010 (MDM APIs); APP-002 (Loyalty),PostgreSQL 14 on RDS; ECS cluster; Redis on ElastiCache,Performance baseline met; Business sign-off on data integrity; Load test plan approved,E-Commerce on ECS/RDS; REST APIs validated; OAuth 2.0 integrated; Load tested,Not Started
APP-002,Loyalty & Rewards Engine,Core Business,2,Digital Products,Marketing,Critical,Tier 1,APP-007 (CDP events); APP-010 (MDM),MongoDB on DocumentDB; Redis on ElastiCache; RabbitMQ on MQ,Business sign-off on data integrity,Loyalty microservices on EKS; Event-driven flows validated; MongoDB migrated,Not Started
APP-003,Demand Planning & Forecasting,Core Business,2,Supply Chain Technology,Supply Chain,Critical,Tier 1,APP-010 (MDM); APP-009 (TMS data feed — adapter),Oracle 19c on RDS; Airflow on MWAA; EMR for compute,Vendor (Kinaxis) cloud compatibility confirmed,Demand Planning on MWAA/EMR; Forecasting models validated; Airflow DAGs migrated,Not Started
APP-005,Trade Promotion Management,Core Business,2,Finance Technology,Commercial Finance,High,Tier 2,APP-001 (E-Commerce); APP-010 (MDM),PostgreSQL 15 on RDS; Kafka on MSK,Integration tests passed,Trade Promo APIs migrated; Kafka streams live; SFTP endpoints configured,Not Started
APP-008,Retail Analytics & Reporting,Core Business,2,Data & Analytics,Business Intelligence,High,Tier 2,APP-001; APP-002; APP-005; APP-007 (data sources),PostgreSQL 14 on RDS; Hadoop on EMR; Spark on EMR,Runbook & incident process live,Analytics on EMR + S3 data lake; Spark jobs validated; Reporting dashboards live,Not Started
APP-006,Product Lifecycle Management,Dependent,3,Product Technology,Product Development,High,Tier 2,APP-010 (MDM); APP-012 (Inventory); APP-015 (MES — adapter),MS SQL 2019 on RDS; IIS replacement on ECS,Team cross-training complete,PLM on RDS SQL Server; REST APIs replacing SOAP; Vendor integration validated,Not Started
APP-011,Financial Planning & Analysis,Dependent,3,Finance Technology,Finance,High,Tier 2,APP-005 (Trade Promo); APP-008 (Analytics); APP-010 (MDM),MS SQL 2019 on RDS; Informatica on EC2/Glue,Incident management proven,FP&A batch jobs on AWS Batch; Informatica migrated; SFTP endpoints live,Not Started
APP-012,Inventory Optimisation Engine,Dependent,3,Supply Chain Technology,Supply Chain,High,Tier 2,APP-004 (WMS data — adapter); APP-008 (Analytics); APP-009 (TMS),MySQL 8.0 on RDS; Redis on ElastiCache; Airflow on MWAA,Load test results accepted,Inventory engine on ECS/RDS; Airflow DAGs migrated; Optimisation models validated,Not Started
APP-013,Quality Management System,Dependent,3,Product Technology,Quality & Compliance,Medium,Tier 3,APP-006 (PLM); APP-015 (MES — adapter),PostgreSQL 15 on RDS; Redis on ElastiCache,Team cross-training complete,QMS on ECS; Celery workers on ECS; AMQP flows validated,Not Started
APP-014,Procurement & Sourcing Portal,Dependent,3,Procurement Technology,Procurement,Medium,Tier 3,APP-010 (MDM); APP-011 (FP&A),MongoDB on DocumentDB; RabbitMQ on MQ,Team cross-training complete,Procurement portal on ECS; OAuth 2.0 integrated; Vendor APIs connected,Not Started
APP-016,Store Operations Dashboard,Dependent,3,Digital Products,Retail Operations,Low,Tier 3,APP-001 (E-Commerce); APP-008 (Analytics); APP-012 (Inventory),PostgreSQL 15 on RDS; Redis on ElastiCache,N/A,Store Ops on ECS; WebSocket endpoints live; Real-time dashboards operational,Not Started
APP-020,Pricing & Markdown Optimisation,Dependent,3,Finance Technology,Commercial Finance,High,Tier 2,APP-001 (E-Commerce); APP-005 (Trade Promo); APP-008 (Analytics),PostgreSQL 15 on RDS; Elasticsearch on OpenSearch; Redis on ElastiCache,Regression suite green,Pricing engine on EKS; gRPC endpoints validated; ML models deployed on SageMaker,Not Started
APP-004,Warehouse Management System,Legacy/Modernise,4,Supply Chain Technology,Supply Chain,High,Tier 2,APP-003 (Demand Planning); APP-012 (Inventory — adapter ready),Oracle 12c upgraded to 19c then RDS; WebLogic replaced by Spring Boot,SOAP→REST adapters deployed; Modernisation pattern agreed; Budget approved,WMS refactored to Java 17/Spring Boot; Oracle on RDS; IBM MQ replaced by SQS/SNS,Not Started
APP-009,Transportation Management System,Legacy/Modernise,4,Supply Chain Technology,Logistics,Medium,Tier 3,APP-003 (Demand Planning); APP-004 (WMS),MySQL 5.7 upgraded to 8.0 on RDS; Tomcat on ECS,Vendor evaluation for replacement complete; Decommission plan signed off,TMS replaced with SaaS or rewritten; Legacy protocols retired; EDI gateway on AWS,Not Started
APP-015,Manufacturing Execution System,Legacy/Modernise,4,Manufacturing Technology,Manufacturing,High,Tier 2,APP-006 (PLM); APP-012 (Inventory),MS SQL 2016 upgraded to 2019 on RDS; IIS/MSMQ replaced,Modernisation patterns selected (Strangler Fig); Budget approved,MES replatformed to .NET 8 on ECS; MSMQ replaced by SQS; COM+ retired,Not Started
APP-017,HR & Workforce Platform,Legacy/Modernise,4,HR Technology,Human Resources,Medium,Tier 3,APP-011 (FP&A),MS SQL 2017 on RDS; IIS replaced,Vendor contracts reviewed; SaaS evaluation complete,HR replaced with SaaS (e.g. Workday); Legacy LDAP migrated to Cognito/AD,Not Started
APP-018,Document Management & Compliance,Legacy/Modernise,4,Operations Technology,Legal & Compliance,Low,Tier 3,APP-006 (PLM); APP-013 (QMS),PostgreSQL 14 on RDS; Alfresco on ECS or S3-native,Decommission plan signed off; Data retention policy confirmed,Doc Mgmt retired; Content migrated to S3 + OpenSearch; Compliance docs archived,Not Started
