Phase,Epic_ID,Epic_Name,Description,Apps_In_Scope,Duration_Weeks,Start_Week,End_Week,Dependencies,Acceptance_Criteria,Owner_Team
Phase 0 - Mobilisation,E-001,Landing Zone & Network,Provision AWS Landing Zone; establish VPN/Direct Connect; configure IAM; set up shared services (logging; monitoring; security baseline),N/A,4,1,4,None,AWS accounts provisioned; network connectivity validated; IAM policies applied; CloudTrail active,Platform Engineering
Phase 0 - Mobilisation,E-002,Cloud Readiness & Training,Deliver AWS training to all teams; establish Cloud Centre of Excellence; define operating model and runbooks,N/A,4,1,4,None,All teams certified; CCoE charter signed; runbooks drafted; incident process defined,Cloud CoE
Phase 0 - Mobilisation,E-003,Migration Tooling & CI/CD,Set up DMS; SCT; CI/CD pipelines (CodePipeline/GitHub Actions); IaC templates (Terraform/CDK); testing frameworks,N/A,3,2,4,E-001,DMS replication instances ready; CI/CD deploying to dev; IaC modules for compute/DB/network,Platform Engineering
Phase 0 - Mobilisation,E-004,Data Classification & Governance,Classify all data stores; define retention policies; establish data quality baseline; configure AWS Config rules,N/A,3,2,4,E-001,Data catalogue complete; retention policies documented; DQ baseline metrics captured,Data & Analytics
Phase 1 - Foundation,E-101,MDM Migration (APP-010),Migrate Master Data Management to AWS — Oracle 19c to RDS; MongoDB to DocumentDB; Spring Boot to ECS; Kafka to MSK,APP-010,6,5,10,E-001; E-003; E-004,MDM APIs responding <200ms p95; data integrity validated; monitoring live; multi-AZ active,Data & Analytics
Phase 1 - Foundation,E-102,CDP Migration (APP-007),Migrate Customer Data Platform — Cassandra to Keyspaces; Elasticsearch to OpenSearch; Spark to EMR; Kafka consumers to MSK,APP-007,6,5,10,E-001; E-003; E-101 (MDM APIs),CDP event streams processing <500ms p99; zero event loss validated; gRPC endpoints live,Data & Analytics
Phase 1 - Foundation,E-103,Big Data Pipeline Migration (APP-019),Migrate ingestion pipeline — Hadoop to EMR; NiFi to MWAA; S3 data lake setup; Cassandra writes to Keyspaces,APP-019,5,6,10,E-101; E-102,Daily batch <4h; data quality >98%; S3 partitions optimised; monitoring operational,Big Data Engineering
Phase 1 - Foundation,E-104,Foundation Integration Testing,End-to-end integration testing of MDM + CDP + Pipeline; performance baseline; DR drill,APP-010; APP-007; APP-019,3,9,11,E-101; E-102; E-103,All integration tests green; DR drill successful (RTO <30min); performance baseline met,Data & Analytics
Phase 2 - Core Business,E-201,E-Commerce Migration (APP-001),Migrate E-Commerce — PostgreSQL to RDS; Spring Boot to ECS; Redis to ElastiCache; Nginx to ALB + CloudFront,APP-001,6,12,17,E-104 (MDM validated),E-Commerce live on AWS; <2s page load; PCI-DSS compliant; auto-scaling to 5x validated,Digital Products
Phase 2 - Core Business,E-202,Loyalty Engine Migration (APP-002),Migrate Loyalty — MongoDB to DocumentDB; Node.js to EKS; Redis to ElastiCache; RabbitMQ to MQ,APP-002,5,12,16,E-102 (CDP events); E-104,Loyalty on EKS; points accuracy 100%; event-driven flows validated; <300ms p95,Digital Products
