Role_ID,Role,Skill_Requirements,Experience_Level,Count,Onboard_Week,Offboard_Week,Active_Phases,Justification,Handover_To
R-001,Migration Programme Manager,Programme delivery; stakeholder management; AWS migration experience; risk management,Senior (10+ yrs),1,1,37,All Phases,Single accountable leader across all phases; ensures continuity and stakeholder alignment; AWS migration experience needed to make informed trade-off decisions,N/A (full duration)
R-002,Cloud Solutions Architect,AWS Well-Architected; multi-account strategy; networking (VPN/DX); IaC (Terraform/CDK); security architecture,Senior (8+ yrs),2,1,26,Phase 0-3,Designs target architecture for all apps; needed early for Landing Zone and stays through Dependent phase to ensure consistency; two needed for parallel workstreams,R-010 (Senior DevOps takes over Phase 4)
R-003,Data Engineer / Big Data Specialist,Hadoop; Spark; EMR; Kafka/MSK; NiFi/MWAA; S3 data lake; Cassandra/Keyspaces; data quality frameworks,Mid-Senior (5-8 yrs),3,3,19,Phase 0-2,Foundation phase is data-heavy (MDM; CDP; Big Data Pipeline); 3 needed for parallel migration of Oracle; Cassandra; Hadoop; reduces to analytics support in Phase 2,R-008 (Analytics Engineer)
R-004,Database Migration Specialist,DMS; SCT; Oracle; PostgreSQL; SQL Server; MySQL; MongoDB; performance tuning; zero-downtime migration,Mid-Senior (5-8 yrs),2,3,34,Phase 0-4,Every phase involves database migration; Oracle 12c→RDS; MySQL 5.7→8; SQL Server upgrades; 2 needed for parallel DB work; staggered off as legacy DBs complete,R-003 (Data Engineer handles remaining)
R-005,Java/Spring Boot Developer,Java 8→17 migration; Spring Boot 3; ECS/EKS deployment; microservices; REST API; Kafka integration,Mid (4-6 yrs),3,5,34,Phase 1-4,Core apps (MDM; E-Commerce; Trade Promo; WMS) are Java/Spring Boot; 3 needed for parallel streams; critical for WMS Java 8→17 refactoring in Phase 4,N/A (needed through Phase 4)
R-006,Node.js / React Developer,Node.js 18+; React 18; EKS deployment; MongoDB/DocumentDB; event-driven architecture,Mid (4-6 yrs),2,12,26,Phase 2-3,Loyalty (Node.js); Procurement (Node.js/React); Store Ops (React); concentrated in Phase 2-3; not needed in Phase 4 (legacy is .NET/Java),R-005 (Java devs cover remaining)
R-007,.NET / C# Developer,.NET 4.8→8 migration; VB.NET modernisation; SQL Server; IIS→ECS; COM+/DCOM replacement,Mid-Senior (5-8 yrs),2,20,35,Phase 3-4,PLM (.NET 6); MES (VB.NET 4.8→.NET 8); HR (ASP.NET 4.8); concentrated in later phases; .NET modernisation expertise critical for Strangler Fig pattern,N/A (offboards at project end)
R-008,Python / ML Engineer,Python 3.11; Scala; FastAPI; Django; SageMaker; Spark; pandas; ML model deployment,Mid (4-6 yrs),2,5,26,Phase 1-3,CDP (Python/Scala); Analytics (Python/Scala); Demand Planning (Python/R); Pricing (Python/Scala); QMS (Django); heavy Python presence across Phase 1-3,R-005 (Java devs for remaining Phase 4)
R-009,DevOps / Platform Engineer,Terraform/CDK; CI/CD (CodePipeline/GitHub Actions); ECS/EKS; monitoring (CloudWatch/Datadog); containerisation,Mid-Senior (5-8 yrs),2,1,37,All Phases,Continuous need for infrastructure provisioning; pipeline maintenance; deployment automation; 2 needed for parallel environments and on-call coverage,N/A (full duration)
R-010,Senior DevOps / SRE,Incident management; chaos engineering; performance tuning; auto-scaling; cost optimisation; DR automation,Senior (8+ yrs),1,9,37,Phase 1-4,Joins after Landing Zone to own operational excellence; DR drills; load testing; chaos engineering; takes over architecture decisions in Phase 4 from Solutions Architect,N/A (full duration)
